resource_id,concept_id,concept_name,resource_name,resource_type,difficulty,duration,duration_minutes,rating,view_count,url,subject,
RES5160,,Career Guidance,Career Guidance - Practice (Intermediate),Practice,Intermediate,1620,27,4.2,2534,https://learning-platform.com/resources/res5160,General,
RES5163,,Career Guidance,Career Guidance - Practice (Intermediate),Practice,Intermediate,2820,47,3.3,1604,https://learning-platform.com/resources/res5163,General,
RES5165,,Case Studies,Case Studies - Practice (Intermediate),Practice,Intermediate,1380,23,4.2,4411,https://learning-platform.com/resources/res5165,General,
RES5170,,Data Cleaning,Data Cleaning - Practice (Intermediate),Practice,Intermediate,4020,67,3.6,647,https://learning-platform.com/resources/res5170,General,
RES5172,,Data Visualization,Data Visualization - Practice (Intermediate),Practice,Intermediate,3240,54,3.9,1148,https://learning-platform.com/resources/res5172,General,
RES5174,,Research Papers,Research Papers - Practice (Intermediate),Practice,Intermediate,4500,75,3.2,4960,https://learning-platform.com/resources/res5174,General,
RES5180,,Python Basics,Python Basics - Practice (Intermediate),Practice,Intermediate,4500,75,3,20086,https://learning-platform.com/resources/res5180,General,
RES5181,,Case Studies,Case Studies - Practice (Intermediate),Practice,Intermediate,4260,71,4.4,1107,https://learning-platform.com/resources/res5181,General,
RES5183,,Interview Preparation,Interview Preparation - Quiz (Advanced),Quiz,Advanced,960,16,3.2,12918,https://learning-platform.com/resources/res5183,General,
RES5162,,Python Basics,Python Basics - Quiz (Intermediate),Quiz,Intermediate,840,14,4.2,757,https://learning-platform.com/resources/res5162,General,
RES5156,,Model Deployment,Model Deployment - Video (Advanced),Video,Advanced,1260,21,3.7,1360,https://learning-platform.com/resources/res5156,General,
RES5145,,Data Cleaning,Data Cleaning - Video (Beginner),Video,Beginner,480,8,3.7,9355,https://learning-platform.com/resources/res5145,General,
RES5159,,Case Studies,Case Studies - Video (Beginner),Video,Beginner,660,11,4.5,854,https://learning-platform.com/resources/res5159,General,
RES5166,,Ethics in AI,Ethics in AI - Video (Beginner),Video,Beginner,480,8,3.4,5711,https://learning-platform.com/resources/res5166,General,
RES5167,,Research Papers,Research Papers - Video (Beginner),Video,Beginner,1140,19,3,14950,https://learning-platform.com/resources/res5167,General,
RES5184,,Case Studies,Case Studies - Video (Beginner),Video,Beginner,1560,26,3.8,157,https://learning-platform.com/resources/res5184,General,
RES5185,,Research Papers,Research Papers - Video (Beginner),Video,Beginner,900,15,3.7,263,https://learning-platform.com/resources/res5185,General,
RES5187,,Research Papers,Research Papers - Video (Beginner),Video,Beginner,1680,28,4.6,389,https://learning-platform.com/resources/res5187,General,
RES5144,,Career Guidance,Career Guidance - Video (Intermediate),Video,Intermediate,960,16,4.6,188,https://learning-platform.com/resources/res5144,General,
RES5147,,Career Guidance,Career Guidance - Video (Intermediate),Video,Intermediate,660,11,4.5,1551,https://learning-platform.com/resources/res5147,General,
RES5150,,Python Basics,Python Basics - Video (Intermediate),Video,Intermediate,1380,23,4.7,1163,https://learning-platform.com/resources/res5150,General,
RES5171,,Data Visualization,Data Visualization - Video (Intermediate),Video,Intermediate,540,9,3.3,7692,https://learning-platform.com/resources/res5171,General,
RES5177,,Ethics in AI,Ethics in AI - Video (Intermediate),Video,Intermediate,1020,17,3.7,104,https://learning-platform.com/resources/res5177,General,
RES5178,,Data Cleaning,Data Cleaning - Video (Intermediate),Video,Intermediate,720,12,3.8,5743,https://learning-platform.com/resources/res5178,General,
RES5186,,Data Visualization,Data Visualization - Video (Intermediate),Video,Intermediate,1440,24,4,18399,https://learning-platform.com/resources/res5186,General,
RES5190,,Interview Preparation,Interview Preparation - Video (Intermediate),Video,Intermediate,1740,29,4.8,2577,https://learning-platform.com/resources/res5190,General,
